x,y,z
-52.1319,114.913,-63.7059
-48.9414,119.269,-68.0819
-60.7641,120.389,-72.7288
-63.6274,121.934,-69.5223
-60.6391,117.192,-117.006
-59.4051,69.4268,-66.8374
-68.3503,166.667,-77.5267
-63.3158,117.091,-68.8106
-52.046,125.799,-67.5754
-82.551,83.8369,-43.7789
-13.6348,115.96,-41.4512
-52.3562,121.308,-61.9604
-42.9894,82.2994,-98.0915
-14.113,93.1505,-72.9754
-101.937,138.243,-74.7386
-86.4632,80.0505,-74.1104
-19.3293,119.195,-100.835
-54.1121,100.241,-113.347
-56.6911,162.045,-41.3718
-31.3863,133.564,-81.418
-73.6918,164.795,-56.2251
-62.0708,118.685,-38.6822
-103.962,106.85,-58.8078
-67.2204,137.984,-112.269
-45.6407,166.867,-78.0339
-92.8419,139.048,-59.6993
-89.5232,154.601,-79.281
-91.0649,105.462,-81.4289
-19.3833,92.5752,-46.7334
-13.3115,143.239,-58.5778
-43.2389,85.3417,-55.0804
-39.1376,103.775,-111.505
-53.7986,168.708,-60.6332
-28.3717,80.4133,-81.6805
-95.8272,91.9425,-53.6134
-77.8194,94.1583,-72.77
-32.2053,75.665,-63.6436
-35.2299,130.092,-65.3084
-87.2682,137.961,-101.698
-35.3631,127.101,-76.1949
-71.5575,105.332,-55.6827
-42.4865,127.672,-76.6224
-96.313,149.111,-69.0839
-71.8051,111.51,-114.08
-51.2713,118.85,-72.0912
-47.3481,136.601,-72.7036
-67.0726,111.71,-44.7379
-31.7211,112.773,-100.894
-25.2274,155.2,-82.7386
-63.9983,75.3898,-89.7926
-36.8565,77.7605,-87.0652
-68.9861,124.31,-115.291
-61.5043,74.8416,-44.9734
-35.6047,153.415,-97.2485
-74.6593,101.605,-65.7728
-51.8325,134.315,-75.8513
-47.4135,73.4296,-49.5072
-77.5393,140.943,-82.0875
-58.8243,122.993,-70.7351
-56.9014,119.5,-72.7448
-54.8615,124.467,-69.695
-82.7202,105.959,-70.762
-60.0866,126.813,-67.8794
-52.5938,80.7772,-64.8585
-7.85962,125.749,-56.7913
-93.5208,103.268,-38.0287
-76.5165,124.284,-112.639
-77.7361,117.983,-52.7791
-69.7113,122.511,-44.6959
-52.8018,159.736,-96.3057
-35.6972,146.38,-82.8573
-70.7221,127.235,-20.0699
-27.0714,125.564,-27.7116
-55.8581,92.1094,-25.2951
-49.8975,123.064,-65.2432
-8.88389,128.799,-79.7282
-84.4698,126.146,-55.8717
-51.6915,121.465,-64.6725
-73.3388,83.2853,-97.4307
-32.8658,137.132,-52.2557
-77.8507,109.812,-62.544
-89.8271,102.864,-100.464
-19.1543,152.525,-70.0083
-85.1893,150.479,-40.9891
-70.794,86.646,-32.2607
-19.6411,143.201,-91.3194
-53.6965,113.168,-69.2408
-45.7623,149.278,-105.753
-20.7897,84.515,-62.0748
-66.6016,82.0121,-75.3899
-96.9378,127.454,-72.3093
-66.4971,115.828,-48.7388
-53.2002,124.271,-64.222
-99.4245,144.119,-71.5448
-26.8257,136.768,-103.576
-71.5385,104.542,-112.484
-32.4524,82.9193,-53.6458
-43.6163,130.662,-67.9871
-75.8541,125.168,-21.6455
-33.9472,129.1,-94.8602
-8.46684,106.404,-60.467
-12.3754,140.835,-77.3839
-56.0572,122.724,-71.4106
-82.3818,137.662,-28.7947
-48.3226,130.111,-80.5137
-14.5828,109.952,-87.1632
-61.8944,114.737,-72.3481
-86.5442,110.196,-28.5413
-49.5582,129.715,-77.0843
-45.4424,72.1163,-79.635
-29.5699,126.952,-86.5165
-63.0639,109.781,-49.035
-83.6457,93.7032,-34.1091
-82.8672,94.4081,-101.48
-36.2455,164.59,-60.9682
-37.8135,89.8585,-50.3397
-50.9409,119.128,-64.6823
-41.9413,95.9055,-99.9433
-34.2354,94.5031,-43.7646
-102.06,123.549,-47.6046
-50.4126,116.691,-69.4973
-41.9916,101.404,-39.3613
-79.2283,116.443,-58.6928
-96.3616,109.156,-95.2841
-50.0038,125.058,-30.3816
-61.6713,106.682,-19.189
-51.2148,129.535,-113.761
-49.2857,115.95,-66.3655
-57.068,77.6829,-74.3739
-59.7133,105.975,-48.348
-7.95433,131.711,-68.2903
-98.845,140.719,-82.3277
-94.1901,137.188,-40.0328
-66.4814,99.5944,-60.9662
-72.3491,109.837,-58.7583
-55.7953,111.322,-66.2491
-62.6487,127.85,-116.034
-60.3035,127.18,-63.7572
-89.6057,155.168,-57.139
-51.6974,92.3207,-52.1804
-9.09826,105.412,-75.7609
-89.5128,82.2092,-62.8496
-37.867,124.755,-113.31
-58.514,124.265,-61.7275
-96.4796,115.806,-37.7526
-61.9137,150.815,-105.569
-69.3327,132.559,-39.6789
-69.7121,156.507,-36.7941
-59.8535,121.295,-61.7211
-67.8992,100.279,-22.5129
-68.4325,92.3171,-69.7216
-81.3938,123.24,-24.1944
-61.1468,115.088,-66.8718
-63.0407,166.066,-51.0946
-85.186,140.122,-50.649
-60.41,131.276,-32.7547
-67.7746,71.7342,-56.996
-93.3986,140.484,-93.0908
-89.9333,91.804,-42.5464
-61.1377,122.1,-70.5919
-41.4783,166.802,-62.6218
