x,y,z
-52.1319,114.913,-63.7059
-48.9414,119.269,-68.0819
-60.7641,120.389,-72.7288
-63.6274,121.934,-69.5223
-60.6391,117.192,-117.006
-68.3503,166.667,-77.5267
-63.3158,117.091,-68.8106
-52.046,125.799,-67.5754
-57.2696,145.058,-56.6892
-13.6348,115.96,-41.4512
-52.3562,121.308,-61.9604
-42.9894,82.2994,-98.0915
-14.113,93.1505,-72.9754
-101.937,138.243,-74.7386
-54.1121,100.241,-113.347
-55.4192,118.092,-59.9718
-29.2392,113.537,-34.8009
-56.6911,162.045,-41.3718
-31.3863,133.564,-81.418
-73.6918,164.795,-56.2251
-62.0708,118.685,-38.6822
-57.7602,154.328,-75.811
-49.9261,125.678,-61.8459
-67.2204,137.984,-112.269
-80.6416,126.22,-85.3199
-45.6407,166.867,-78.0339
-92.8419,139.048,-59.6993
-89.5232,154.601,-79.281
-91.0649,105.462,-81.4289
-61.3668,115.857,-45.7802
-19.3833,92.5752,-46.7334
-13.3115,143.239,-58.5778
-61.6627,143.56,-79.7849
-68.6842,141.143,-82.2968
-43.2389,85.3417,-55.0804
-39.1376,103.775,-111.505
-55.841,130.983,-48.4416
-53.7986,168.708,-60.6332
-36.6914,125.568,-62.8975
-28.3717,80.4133,-81.6805
-64.8979,138.566,-94.7709
-77.8194,94.1583,-72.77
-32.2053,75.665,-63.6436
-35.2299,130.092,-65.3084
-52.1449,124.651,-94.1357
-40.9932,139.521,-86.01
-87.2682,137.961,-101.698
-35.3631,127.101,-76.1949
-39.0265,141.08,-93.658
-58.9811,119.08,-49.982
-71.5575,105.332,-55.6827
-42.4865,127.672,-76.6224
-31.3133,106.765,-78.0654
-96.313,149.111,-69.0839
-49.4783,97.4766,-85.3151
-57.6849,128.652,-92.2783
-40.871,126.565,-45.0133
-65.3197,127.445,-57.6734
-71.8051,111.51,-114.08
-51.2713,118.85,-72.0912
-52.668,118.253,-89.0917
-47.3481,136.601,-72.7036
-67.0726,111.71,-44.7379
-31.7211,112.773,-100.894
-35.4644,122.148,-68.4742
-25.2274,155.2,-82.7386
-63.9983,75.3898,-89.7926
-19.5424,145.436,-68.6574
-62.5401,154.864,-50.9958
-38.8208,109.547,-66.7399
-36.8565,77.7605,-87.0652
-43.5169,96.8428,-68.4228
-68.9861,124.31,-115.291
-35.6047,153.415,-97.2485
-74.6593,101.605,-65.7728
-61.3336,119.846,-57.7879
-38.2622,130.529,-56.2348
-51.8325,134.315,-75.8513
-46.1051,136.36,-57.9848
-66.3594,130.524,-81.5999
-59.4151,117.582,-85.2409
-45.2525,120.155,-71.5984
-77.5393,140.943,-82.0875
-58.8243,122.993,-70.7351
-56.9014,119.5,-72.7448
-39.7153,120.123,-59.028
-54.8615,124.467,-69.695
-82.7202,105.959,-70.762
-60.0866,126.813,-67.8794
-36.0904,114.943,-44.311
-52.5938,80.7772,-64.8585
-7.85962,125.749,-56.7913
-61.8921,139.204,-67.3713
-70.8762,150.734,-85.7533
-66.1549,106.054,-67.0852
-76.5165,124.284,-112.639
-66.0172,135.23,-55.9931
-29.589,104.374,-60.7578
-77.7361,117.983,-52.7791
-44.8834,106.234,-78.0096
-69.7113,122.511,-44.6959
-52.8018,159.736,-96.3057
-57.4957,116.677,-90.4025
-35.6972,146.38,-82.8573
-52.875,120.43,-52.8968
-27.0714,125.564,-27.7116
-59.2122,101.233,-61.9456
-49.8975,123.064,-65.2432
-71.4524,125.941,-54.1832
-53.3858,114.296,-55.4329
-8.88389,128.799,-79.7282
-84.4698,126.146,-55.8717
-23.0278,118.412,-68.0991
-51.6915,121.465,-64.6725
-73.3388,83.2853,-97.4307
-32.8658,137.132,-52.2557
-62.7551,102.579,-86.8343
-67.1224,115.603,-78.4472
-77.8507,109.812,-62.544
-75.7575,125.473,-64.4006
-55.5433,107.647,-81.7642
-54.9962,134.243,-67.8611
-46.9507,126.442,-52.5686
-89.8271,102.864,-100.464
-19.1543,152.525,-70.0083
-19.6411,143.201,-91.3194
-45.5104,143.052,-43.9895
-53.6965,113.168,-69.2408
-45.7623,149.278,-105.753
-20.7897,84.515,-62.0748
-56.7747,134.848,-59.1555
-33.4335,108.714,-65.937
-66.4402,134.332,-74.7834
-66.6016,82.0121,-75.3899
-96.9378,127.454,-72.3093
-66.4971,115.828,-48.7388
-53.2002,124.271,-64.222
-99.4245,144.119,-71.5448
-26.8257,136.768,-103.576
-71.5385,104.542,-112.484
-32.4524,82.9193,-53.6458
-52.6773,102.346,-65.7132
-72.6201,149.65,-57.9701
-43.6163,130.662,-67.9871
-33.9472,129.1,-94.8602
-8.46684,106.404,-60.467
-71.5078,115.04,-59.1107
-54.6072,127.706,-61.5741
-12.3754,140.835,-77.3839
-56.0572,122.724,-71.4106
-15.5368,128.315,-88.0023
-48.3226,130.111,-80.5137
-14.5828,109.952,-87.1632
-61.8944,114.737,-72.3481
-49.5582,129.715,-77.0843
-45.4424,72.1163,-79.635
-29.5699,126.952,-86.5165
-50.8346,133.455,-68.2937
-52.7309,115.601,-80.6343
-52.4632,112.572,-102.889
-57.8429,138.519,-73.3252
-63.0639,109.781,-49.035
